#X,Y,X_true,Y_true,Phi,V,Zx,Zy,
-9.84952,8.49535,-9.8867,8.87618,4.89558,1.53511,-9.91719,8.60448,
-9.8367,8.39672,-9.87497,8.77687,4.90559,1.53511,-9.90546,8.50517,
-9.82289,8.29823,-9.86224,8.67768,4.91559,1.53511,-9.89273,8.40598,
-9.8081,8.19988,-9.84852,8.57863,4.92559,1.53511,-9.87902,8.30693,
-9.79232,8.10168,-9.83382,8.47972,4.93559,1.53511,-9.86431,8.20801,
-9.77557,8.00364,-9.81812,8.38096,4.94559,1.53511,-9.84861,8.10925,
-9.75783,7.90578,-9.80144,8.28236,4.95559,1.53511,-9.83193,8.01065,
-9.73912,7.8081,-9.78377,8.18393,4.96559,1.53511,-9.81426,7.91223,
-9.71943,7.71061,-9.76512,8.08569,4.97559,1.53511,-9.79561,7.81398,
-9.69876,7.61332,-9.74549,7.98763,4.98559,1.53511,-9.77598,7.71593,
-9.67713,7.51625,-9.72487,7.88978,4.99559,1.53511,-9.75537,7.61807,
-9.65452,7.4194,-9.70328,7.79214,5.00559,1.53511,-9.73378,7.52043,
-9.63095,7.32277,-9.68072,7.69472,5.0156,1.53511,-9.71121,7.42301,
-9.60641,7.22639,-9.65718,7.59753,5.0256,1.53511,-9.68767,7.32582,
-9.58091,7.13026,-9.63267,7.50058,5.0356,1.53511,-9.66316,7.22887,
-9.55445,7.03439,-9.60719,7.40388,5.0456,1.53511,-9.63769,7.13217,
-9.52704,6.93878,-9.58075,7.30744,5.0556,1.53511,-9.61124,7.03573,
-9.49866,6.84346,-9.55335,7.21126,5.0656,1.53511,-9.58384,6.93956,
